CUSTOMER_ID,QUANTITY,MATNR,MAKTX
2790,1,19088984,???????U-SAW#SA005-7/??????????
2784,1,19077658,????????HONNA/????????????/???????***
2784,1,19077657,????HONNA/????????????/???????/???
2784,1,19077657,????HONNA/????????????/???????/???
2784,1,19077658,????????HONNA/????????????/???????***
2784,1,19077657,????HONNA/????????????/???????/???
2784,1,19114405,BELIO/????????C150/CANYON OAK/??????
2784,1,19112395,URBANI/?????????DK110/?????????/?????
2784,1,19114405,BELIO/????????C150/CANYON OAK/??????
2784,1,19090393,????GRAHAM/SL???/???????
2784,1,19114405,BELIO/????????C150/CANYON OAK/??????
2784,1,19071518,URBANI/?????????DK110/???/??????
2784,1,19112395,URBANI/?????????DK110/?????????/?????
2784,1,19080289,MOS#3/????????/?????????/?????????
2429,1,19112683,????MOROZ#2/??????/???(???)
2429,1,19106652,KIDZIO/?????BW3.5'-DW/CANYON/???-???-???
2429,1,19106651,KIDZIO/?????BW3.5'/CANYON/???-???-???
2429,1,59001096,Sofa/Gigger#2 2+1S Sofa/Red
2429,1,19113182,CHLOE/?????BM6'/F/I-TWI/CLS DARK SHER/LB
2429,1,19072317,????TERESSA/3S/???????/3S
2429,1,19097472,?????????MONTIS#2/DN80/???/???????
2429,1,19112863,PATINAL/?????BW6'/K/?????????/?????
2429,1,59012841,Dining/AIDEN-A/???????/?????x2
2429,1,19117427,HEWKA/??????????TV120/?????/?????-?????
2429,1,59011682,Living/Bente TV120&CT60/1.8m./Solid
2429,2,19077733,MINIMO/?????BM3.5'/G/CANYON OAK/SL???
2429,1,59000732,Sofa/CAPULET3S+STOOL/??????
2723,1,19088646,??????????????L13-3607/???????/SL/??/1S
2723,1,19127659,RECLINER SMITA/???????/SL????#3010/1RE
2463,1,19116889,MINIMO/??????TV120/D05/ESPRESSO/I-TWIST
3267,1,19106666,KIDZIO/?????????DK100/CANYON OAK/???/???
3071,1,19115350,????????CHAMBRE/??????ANTIC
3071,1,19090641,????????#INT2658/FP/MAHOGANY***
3223,1,25015559,SBDS ??????????????? #GM08-8298/CN***
3223,1,25017415,????45*45 #MTH4749A/MTA
3223,1,25015567,SBDS ?????????? #GM08-8348/CN***
