ORDER_ID,ORDER_ITEM_ID,MATNR,QUANTITY,TOTAL_PRICE
9241,8681,19112184,1,17900.0
9262,8703,19111285,1,5950.0
9281,8721,59006451,1,16900.0
9322,8762,19109483,1,7350.0
9381,8822,19100904,2,2200.0
9381,8823,19045724,1,6650.0
9421,8862,19097695,1,4190.0
9421,8863,19100902,1,1100.0
9561,8981,19071497,1,24800.0
9601,9021,19027081,1,455.0
9621,9041,59007246,1,25900.0
9661,9081,59001142,1,17900.0
9661,9082,19011555,1,2900.0
9701,9121,19114405,1,2660.0
9721,9141,19090393,1,22900.0
9762,9166,25023296,2,580.0
9801,9183,19101791,1,5390.0
9848,9229,19110082,1,5670.0
9921,9301,19114405,1,2660.0
9961,9341,19096158,1,12670.0
9981,9361,19000346,1,2450.0
9981,9362,19101649,1,4390.0
10004,9366,19084941,1,2900.0
10061,9421,19023002,1,4200.0
10061,9422,19077252,2,1980.0
10061,9423,19077250,2,1980.0
10061,9424,19096185,1,4290.0
10121,9481,19024114,1,15960.0
10161,9521,19089771,6,47400.0
10181,9541,19110884,1,8690.0
10201,9561,19097676,1,8250.0
10221,9581,19045235,1,4340.0
10241,9601,19110884,1,8690.0
10241,9602,19062413,1,8960.0
10242,9603,19112238,1,19900.0
10261,9621,19041866,1,3690.0
10261,9622,19114405,1,2660.0
10281,9641,19112399,1,1690.0
10301,9661,19112395,1,1680.0
10321,9682,19076890,1,3500.0
10321,9683,19076889,1,2240.0
10321,9684,19112396,1,2380.0
10322,9685,19087092,1,2990.0
10341,9701,19114405,1,2660.0
10361,9721,19111285,2,11380.0
10361,9722,19111282,1,5390.0
10361,9723,19111297,1,3220.0
10361,9724,19110884,1,8690.0
10381,9725,19111299,1,3010.0
10381,9726,19111281,1,5390.0
10421,9741,19063491,1,6230.0
10422,9742,19109650,1,8320.0
10441,9761,59008061,1,15500.0
10461,9781,59011197,1,13900.0
10461,9782,19111299,1,3010.0
10461,9783,19110884,1,8690.0
10481,9801,19062438,1,18500.0
10501,9821,19111299,1,3010.0
10501,9822,19111281,1,5390.0
10521,9823,19111299,1,3010.0
10522,9841,19101638,1,9450.0
10541,9861,19114405,1,2660.0
