,ID,MATNR,IMAGE_URL
52,"156,080",19027039,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19027039_TMPN0-IT-Koncept-Bedroom-Mirror-Contemporary_A_A4.jpg
53,"21,841",19023103,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19023103_TMPN100086-IT-SB-Bedroom-DuronSpa100086-Bed-Modern  Italian_A_A4.jpg
54,"29,854",59001799,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59001799_TMPN300165-RT-KC-Kitchen-Contrino 1.50x2.10-Contemporary_A_A4.jpg
55,"19,963",19045889,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19045889_TMPN200008-IT-SB-Livingroom-Aiko-Armchair-Modern_A_A4.jpg
56,"22,077",19027614,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19027614_TMPN300157-IT-KC-Bedroom-Alicia-Wardrobe-Modern_A_A4.jpg
57,"31,961",25009808,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009808_NMI500206-IT-SBDS-Home Decoration-DE2663-Metal buckets-Vintage_A_A4.jpg
58,"29,272",59000719,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000719_TMP200239-RT-SB-Diningroom-H-CURVE&HUTCHx4-Modern Classic_A_A4.jpg
59,"29,210",19027157,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19027157_TMPN300549-KC-Office-Selector-DK120-SDAL-AR-ModernContemporary_A_A4.jpg
60,"21,896",19023345,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19023345_TMPN300201-IT-KC-Bedroom-KittyI-Bed-Modern_A_A4.jpg
61,"21,211",19045312,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19045312_TMPN200014-IT-Juve-Livingroom-Dave-Armchair-Neo Baroque_A_A4.jpg
62,"23,559",19045207,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19045207_TMPN300014-IT-KC-Bedroom-Grazia-Bed-ModernContemporary_A_A4.jpg
63,"19,454",19012447,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19012447_TMPN200196-IT-SB-Livingroom-Dumpa-c-Coffee table-Modern_A_A4.jpg
64,"30,111",19041971,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19041971_TMPN400204-IT-KC-Livingroom-Raffle8-Sofa-Modern_A_A4.jpg
65,"24,805",19050237,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050237_TMPN500386-IT-SBDS-Home Decoration-YA-H93630A-MDF photo frame-Modern_A_A4.jpg
66,"25,301",19023350,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19023350_TMPN100056-IT-SB-Bedroom-ZioniMetrio100056-Mirror-Modern Italian_A_A4.jpg
67,"23,950",59000018,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000018_TMPN100011-RT-SB-Bedroom-ZenMetrio-Orienal Aspire_A_A4.jpg
68,"23,953",59000019,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000019_TMPN100014-RT-SB-Bedroom-Trizz- Modern Italian_A_A4.jpg
69,"29,476",19015718,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19015718_TMPN200070-IT-SB-Livingroom-Halmy-Armchair-Oriental Aspire_A_A4.jpg
70,"24,856",19052060,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19052060_TMPN200252-IT-SBDS-Diningroom-Kadin-Diningchair-Ecolism_A_A4.jpg
71,"30,120",19046251,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19046251_TMPN400219-IT-KC-Livingroom-JellyConner-Sofa-Modern_A_A4.jpg
72,"29,406",59000754,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000754_TMP200245-RT-SB-Diningroom-F-BOWL&FERRAx4-Romantica_A_A4.jpg
