,NODE,LTEXT,LTEXT_T
229,I0,หมอนหนุนเมมโมรี่โฟม,
230,I1,หมอนหนุนยางพารา,
231,I2,หมอนหนุนวิสโคอีลาสติก,
232,I3,หมอนอิง,
233,I4,อุปกรณ์ผ้าม่าน,
234,I5,ตู้เสื้อผ้าเข้ามุมบานเปิด,
235,I6,**Delete**,
236,I7,หน้าลิ้นชัก,
237,I8,โซฟาสนาม,
238,I9,**Delete**,
239,J0,ราวแขวน,
240,J1,พื้นบนตู้ลิ้นชัก,
241,J2,กล่องบานยก,
242,J3,กล่องลิ้นชัก,
243,J4,กล่องโล่ง,
244,J5,ชั้นโล่ง,
245,J6,โต๊ะเขียนหนังสือ,Writing Desk
246,J7,เซรามิคตกแต่ง,
247,J8,ของตกแต่งอื่น ๆ,
248,J9,ของตกแต่งเหล็กดัด,
249,K1,ตะเกียง,
250,K2,ชุดปลั๊กไฟ,
251,K3,หนังสือปลอม,
252,K4,สินค้าเบ็ดเตล็ด,
253,K5,แผ่นเข้ามุม,
254,K6,นาฬิกาตั้งพื้น,
255,K7,ตู้เสื้อผ้าอินโนเวชั่น,
256,K8,ภาพแขวน,
257,K9,กล่องใส่เครื่องประดับ,
258,L1,โถเซรามิค/โถหิน,
259,L2,ของใช้ในห้องน้ำ,
260,L3,กล่องใส่นามบัตร,
261,L4,อุปกรณ์ผ้าใช้ในครัวและบนโต๊ะอาหาร,
262,L5,ที่คั่นหนังสือ,
263,L6,Topโต๊ะ,
264,L7,ขาโต๊ะ,
265,L8,ตู้เตี้ย,
266,L9,เก้าอี้พักผ่อนเข้ามุม,
267,M1,โต๊ะหมู่บูชา,
268,M2,กระถางต้นไม้,
269,M3,**Delete**,
270,M4,ตะขอติดผนัง,
271,M5,หุ่นจำลอง,
272,M6,สมุดโน๊ต/อัลบั้มรูป,
273,M7,เก้าอี้พักผ่อนสั่งทำ,
274,M8,ที่นอนสปริง+ยางพารา,
275,M9,ที่นอนพ็อคเก็ตสปริง+ยางพารา,
276,N1,ที่นอนโฟมสังเคราะห์,
277,N2,ที่นอนฟองน้ำอัด,
278,N3,ที่นอนโฟม,
279,N4,แผ่นรองที่นอน,
280,N5,ชุดผ้าปูที่นอน,
281,N6,ชุดผ้าปูที่นอน+ผ้านวม,
282,N7,ปลอกหมอน,
283,N8,ผ้านวมเย็บติด,
284,N9,ปลอกผ้านวม,
285,O1,ไส้ผ้านวม,
286,O2,ผ้ารองกันเปื้อน,
287,O3,หมอนหนุน,
288,O4,หมอนข้าง,
289,O5,เตียงไฟฟ้า,
290,O6,ชิงช้า,
291,O7,อุปกรณ์เสริมชุดครัว,
292,O8,**Delete**,
293,O9,TV ชั้นแขวน IHTV,
294,P1,TV ตู้แขวนแบบกรอบ IHBTV,
295,P2,TV ตู้แขวนลิ้นชักลึก30 IHDW,
296,P3,TV ตู้แขวนลิ้นชักลึก45 IHDW,
297,P4,TV ตู้พื้น IB,
298,P5,TV โต๊ะ ITVB,
299,P6,กล่องแขวน โล่งไม้ IHB,
300,P7,กล่องแขวน โล่งไม้ IWB,
301,P8,กล่องแขวน โล่งไม้แนวตั้ง IWB,
302,P9,กล่องแขวน โล่งเหล็ก ISB,
303,Q1,ชั้นแขวน มีผนังกระจก ISM,
304,Q2,ชั้นแขวน มีผนังไม้ IS,
305,Q3,ชั้นแขวน ลอย IFS,
306,Q4,ตู้แขวน ชั้นกระจก 60 IHBG,
307,Q5,ตู้แขวน ชั้นไม้ 60 IHBW,
308,Q6,ตู้แขวน แนวตั้ง IHBV,
309,Q7,ตู้แขวน แนวนอนลึก 30 IHBH,
310,Q8,ตู้แขวน แนวนอนลึก 35 IHBH,
311,Q9,ตู้พื้น ลิ้นชัก ITVB,
312,R1,โต๊ะทำงาน IHD,
313,R2,เปาคา IDWB,
314,R3,ผนังหลัง กระจก IWM,
315,R4,ผนังหลัง ซ่อนสายไฟ IWE,
316,R5,ผนังหลัง ไม้ IW,
317,R6,พื้นล่าง IBPN,
