"ITEM_ID","CART_ID","MATNR","QUANTITY","TOTAL_PRICE","DESCRIPTION","NORMAL_PRICE","F_CANBUY","PROMO_REC_ID","PROMO_CART_ITEM_ID","SOFTNESS_ID"
"4,087","4,142","25015357",1,199,,199,Y,,,
"4,089","4,142","25015356",1,199,,199,Y,,,
"4,121","4,202","19047970",1,"6,300",,"6,300",Y,,,
"7,685","8,262","19106678",1,"4,790",,"4,790",Y,,,
"7,901","8,562","19108378",1,"34,900",,"34,900",Y,,,
"4,144","4,242","19096196",1,"13,900",,"13,900",Y,,,
"122,941","119,465","19110883",1,"5,100",,"5,100",Y,,,
"5,822","6,102","19042666",1,"21,900",,"21,900",Y,,,
"122,862","128,022","19077084",1,"13,230",,"13,230",Y,,,
"6,503","6,842","19077274",1,"2,990",,"2,990",Y,,,
"6,505","6,842","19106518",1,"9,380",,"9,380",Y,,,
"4,306","4,362","19086604",1,"6,990",,"6,990",Y,,,
"4,304","4,362","19042821",2,"99,800",,"49,900",Y,,,
"122,861","128,022","19024114",1,"15,960",,"15,960",Y,,,
"122,961","119,465","19072321",1,"23,200",,"23,200",Y,,,
"4,366","4,523","59008283",1,"5,850",,"5,850",Y,,,
"4,367","4,523","19106666",1,"3,300",,"3,300",Y,,,
"4,372","4,523","19097322",1,"2,700",,"2,700",Y,,,
"4,401","3,462","19042366",1,"5,775",,"5,775",Y,,,
"4,443","4,444","19112402",1,"2,900",,"2,900",Y,,,
"6,901","7,222","19111291",2,"11,200",,"5,600",Y,,,
"123,021","128,063","19113819",1,"9,030",,"9,030",Y,,,
"4,902","5,043","59008061",1,"15,500",,"15,500",Y,,,
"123,041","128,082","59007373",1,"29,900",,"29,900",Y,,,
"5,221","5,382","19063796",1,"6,860",,"6,860",Y,,,
"123,061","128,102","59006531",1,"15,900",,"15,900",Y,,,
"5,321","5,482","25017280",1,190,,190,Y,,,
"123,163","128,142","19087092",2,"5,980",,"2,990",Y,,,
"123,143","128,122","19111276",1,"4,900",,"4,900",Y,,,
"123,164","128,162","59012168",1,"26,900",,"26,900",Y,,,
"57,052","62,922","19088783",1,"10,500",,"10,500",Y,,,
"57,056","62,942","59012152",1,"18,900",,"18,900",Y,,,
"5,905","6,223","25016776",1,450,,450,Y,,,
"5,781","6,022","19014291",1,"8,925",,"8,925",Y,,,
"5,802","6,042","19044825",1,"13,900",,"13,900",Y,,,
"5,826","6,102","19106673",1,"28,400",,"28,400",Y,,,
"5,904","6,223","25016775",2,900,,450,Y,,,
"6,041","4,362","19044825",1,"13,900",,"13,900",Y,,,
"6,510","6,862","19067797",1,"5,950",,"5,950",Y,,,
"6,161","6,463","19101791",1,"5,390",,"5,390",Y,,,
"6,152","6,463","59008853",1,"20,900",,"20,900",Y,,,
"7,062","7,423","19105351",1,"6,900",,"6,900",Y,,,
"6,721","7,102","19085615",1,"1,750",,"1,750",Y,,,
"123,161","128,142","19081405",1,"7,500",,"7,500",Y,,,
"11,023","11,926","19112396",1,"2,380",,"2,380",Y,,,
"7,084","7,463","59004534",1,"31,900",,"31,900",Y,,,
"7,083","7,463","59004720",1,"9,500",,"9,500",Y,,,
"8,454","9,046","19090204",1,"2,790",,"2,790",Y,,,
"7,101","7,482","19112184",1,"19,900",,"19,900",Y,,,
"10,764","11,564","19015491",1,"7,650",,"7,650",Y,,,
"7,223","7,702","59007257",1,"27,500",,"27,500",Y,,,
"7,302","7,783","19100902",1,975,,975,Y,,,
"9,802","10,602","19039968",1,"18,600",,"18,600",Y,,,
"7,342","7,842","19090636",1,"42,900",,"42,900",Y,,,
"7,343","7,842","19108363",1,"26,900",,"26,900",Y,,,
"7,344","7,842","19089099",1,"27,900",,"27,900",Y,,,
"7,361","7,883","19096188",1,"3,900",,"3,900",Y,,,
"7,565","8,082","59010074",1,"9,900",,"9,900",Y,,,
"7,365","7,883","19067795",1,"5,250",,"5,250",Y,,,
"7,368","7,883","19036592",1,"4,480",,"4,480",Y,,,
"7,569","8,082","19096339",1,"5,900",,"5,900",Y,,,
"7,567","8,082","19110885",2,"4,200",,"2,100",Y,,,
"7,573","8,083","19087902",1,"18,900",,"18,900",Y,,,
"7,574","8,082","19076885",1,"6,650",,"6,650",Y,,,
"7,941","8,562","19055520",1,"14,900",,"14,900",Y,,,
"7,943","8,562","19056219",1,"29,900",,"29,900",Y,,,
"7,869","8,502","19094074",1,"9,900",,"9,900",Y,,,
"7,961","8,582","19067481",1,"4,830",,"4,830",Y,,,
"7,962","8,582","19101663",1,"3,700",,"3,700",Y,,,
"7,963","8,582","19062256",1,"3,200",,"3,200",Y,,,
"57,063","62,466","19121074",1,"19,900",,"19,900",Y,,,
"8,022","8,642","19086653",1,"2,990",,"2,990",Y,,,
"123,261","128,222","59008491",1,"27,900",,"27,900",Y,,,
"8,525","9,123","19090820",1,"1,750",,"1,750",Y,,,
"9,841","4,522","19100903",1,975,,975,Y,,,
"8,507","9,102","59006946",1,"5,900",,"5,900",Y,,,
"57,103","63,042","19120619",1,"9,900",,"9,900",Y,,,
"123,262","128,222","19109910",1,"5,400",,"5,400",Y,,,
"8,646","9,262","19096154",1,"8,580",,"8,580",Y,,,
"8,643","9,222","19104916",1,"9,900",,"9,900",Y,,,
"8,644","9,262","19106696",1,"3,790",,"3,790",Y,,,
"8,648","9,262","19084432",1,"5,880",,"5,880",Y,,,
"57,105","56,862","19067399",1,"2,590",,"2,590",Y,,,
"57,107","63,063","19070692",1,"7,250",,"7,250",Y,,,
"123,181","128,122","19051534",1,"5,328",,"5,328",Y,,,
"123,182","128,122","19051522",1,"3,120",,"3,120",Y,,,
