"ORDER_ID","ORDER_ITEM_ID","MATNR","QUANTITY","TOTAL_PRICE"
"7,121","6,781","19031467",1,"5,680"
"7,182","6,825","19090832",1,"11,900"
"7,321","6,941","19106678",2,"9,580"
"7,341","6,961","19071897",1,"2,240"
"7,361","6,981","19112395",1,"1,680"
"7,361","6,982","19041255",1,"2,550"
"7,421","7,021","19110037",1,"29,900"
"7,421","7,022","19090944",1,"17,900"
"7,421","7,023","19110041",1,"29,900"
"7,521","7,121","19111553",1,"8,990"
"7,541","7,141","19090399",1,"1,750"
"7,541","7,142","19090397",1,"8,050"
"7,541","7,143","19090400",1,"4,410"
"7,581","7,181","19062257",1,"2,590"
"7,621","7,221","59010269",1,"20,900"
"7,661","7,261","19112184",1,"17,900"
"7,861","7,461","19111285",1,"5,950"
"7,861","7,462","19111299",1,"3,010"
"7,941","7,541","19112774",1,"22,900"
"7,961","7,561","19110881",1,"12,300"
"8,083","7,684","19045920",1,"21,900"
"8,085","7,686","19072320",1,"34,900"
"8,122","7,724","59002916",1,"17,550"
"8,186","7,769","19041249",1,"6,930"
"8,188","7,771","19097665",1,"23,900"
"8,188","7,772","19090385",1,"1,590"
"8,201","7,781","19097866",1,"3,990"
"8,261","7,814","19110736",2,"39,810"
"8,261","7,815","19045725",1,"6,650"
"8,381","7,881","19045725",1,"6,650"
"8,381","7,882","19110736",2,"39,810"
"8,441","7,941","59010273",1,"23,900"
"8,541","8,041","19090204",1,"2,790"
"9,101","8,561","19090062",1,"7,400"
"9,161","8,603","19090747",1,"7,900"
"9,241","8,681","19112184",1,"17,900"
"9,262","8,703","19111285",1,"5,950"
"9,281","8,721","59006451",1,"16,900"
"9,322","8,762","19109483",1,"7,350"
"9,381","8,822","19100904",2,"2,200"
"9,381","8,823","19045724",1,"6,650"
"9,421","8,862","19097695",1,"4,190"
"9,421","8,863","19100902",1,"1,100"
"9,561","8,981","19071497",1,"24,800"
"9,601","9,021","19027081",1,455
"9,621","9,041","59007246",1,"25,900"
"9,661","9,081","59001142",1,"17,900"
"9,661","9,082","19011555",1,"2,900"
"9,701","9,121","19114405",1,"2,660"
"9,721","9,141","19090393",1,"22,900"
"9,762","9,166","25023296",2,580
"9,801","9,183","19101791",1,"5,390"
"9,848","9,229","19110082",1,"5,670"
"9,921","9,301","19114405",1,"2,660"
"9,961","9,341","19096158",1,"12,670"
"9,981","9,361","19000346",1,"2,450"
"9,981","9,362","19101649",1,"4,390"
"10,004","9,366","19084941",1,"2,900"
"10,061","9,421","19023002",1,"4,200"
"10,061","9,422","19077252",2,"1,980"
"10,061","9,423","19077250",2,"1,980"
"10,061","9,424","19096185",1,"4,290"
"10,121","9,481","19024114",1,"15,960"
"10,161","9,521","19089771",6,"47,400"
"10,181","9,541","19110884",1,"8,690"
"10,201","9,561","19097676",1,"8,250"
"10,221","9,581","19045235",1,"4,340"
"10,241","9,601","19110884",1,"8,690"
"10,241","9,602","19062413",1,"8,960"
"10,242","9,603","19112238",1,"19,900"
"10,261","9,621","19041866",1,"3,690"
"10,261","9,622","19114405",1,"2,660"
"10,281","9,641","19112399",1,"1,690"
"10,301","9,661","19112395",1,"1,680"
"10,321","9,682","19076890",1,"3,500"
"10,321","9,683","19076889",1,"2,240"
"10,321","9,684","19112396",1,"2,380"
"10,322","9,685","19087092",1,"2,990"
"10,341","9,701","19114405",1,"2,660"
"10,361","9,721","19111285",2,"11,380"
"10,361","9,722","19111282",1,"5,390"
"10,361","9,723","19111297",1,"3,220"
"10,361","9,724","19110884",1,"8,690"
"10,381","9,725","19111299",1,"3,010"
"10,381","9,726","19111281",1,"5,390"
"10,421","9,741","19063491",1,"6,230"
"10,422","9,742","19109650",1,"8,320"
"10,441","9,761","59008061",1,"15,500"
"10,461","9,781","59011197",1,"13,900"
"10,461","9,782","19111299",1,"3,010"
"10,461","9,783","19110884",1,"8,690"
"10,481","9,801","19062438",1,"18,500"
"10,501","9,821","19111299",1,"3,010"
"10,501","9,822","19111281",1,"5,390"
"10,521","9,823","19111299",1,"3,010"
"10,522","9,841","19101638",1,"9,450"
"10,541","9,861","19114405",1,"2,660"
"10,541","9,862","19114016",1,"2,490"
"10,561","9,881","19067482",1,"2,750"
"10,561","9,882","19086500",1,"2,970"
"10,581","9,883","19047937",1,"3,640"
"10,581","9,884","19047931",1,"5,530"
"10,581","9,885","19047940",1,"6,160"
"10,581","9,886","19047932",1,"5,600"
"10,601","9,901","19047937",1,"3,640"
"10,601","9,903","19047932",1,"5,600"
"10,621","9,921","59007296",1,"20,900"
"2,061","2,061","19084437",1,"5,880"
"2,081","2,081","19047928",1,"7,420"
"2,103","2,103","25017431",1,399
"2,121","2,121","25017251",1,120
"2,122","2,122","25017251",1,120
"2,201","2,189","19110830",1,"9,900"
"2,261","2,241","19097400",1,"32,900"
"2,261","2,242","59008078",1,"11,500"
"2,261","2,243","19110327",2,"13,800"
"2,261","2,244","19097402",1,"17,990"
"2,261","2,245","19112683",1,"30,900"
"2,261","2,246","59008117",1,"20,900"
"2,261","2,247","19093314",1,"11,590"
"2,261","2,248","19097405",1,"36,900"
