"ITEM_ID","IDEABOOK_ID","MATNR","INSPIRATION_ID","IMAGE_ID","ITEM_TYPE","PHOTO_ID"
"6,865","11,831","19111296",,,MDM_CYBER,
"6,866","11,831","19106679",,,MDM_CYBER,
"6,867","11,830","19106698",,,MDM_CYBER,
"6,870","11,830","19097923",,,MDM_CYBER,
"6,874","11,831","59010049",,,MDM_CYBER,
"6,877","11,830","59003892",,,MDM_CYBER,
"6,878","11,830","59007685",,,MDM_CYBER,
"6,883","11,843","59010076",,,MDM_CYBER,
"6,886","11,843","59001170",,,MDM_CYBER,
"6,889","11,843","59008449",,,MDM_CYBER,
"6,892","11,848",,"2,641",,INSPIRATION,
"6,903","11,862","19111578",,,MDM_CYBER,
"6,922","11,900","19109693",,,MDM_CYBER,
"6,926","5,167","19111285",,,MDM_CYBER,
"6,927","5,167","19111300",,,MDM_CYBER,
"6,947","11,921","25015909",,,MDM_CYBER,
"7,003","12,025","19101785",,,MDM_CYBER,
"7,004","12,025","19097694",,,MDM_CYBER,
"7,022","12,062","59003298",,,MDM_CYBER,
"7,042","12,067","59008126",,,MDM_CYBER,
"7,064","12,073","19097688",,,MDM_CYBER,
"7,067","12,073","19042776",,,MDM_CYBER,
"7,071","12,073","19068838",,,MDM_CYBER,
"7,075","12,072","19070692",,,MDM_CYBER,
"7,077","12,072","19037392",,,MDM_CYBER,
"7,082","12,073","19068767",,,MDM_CYBER,
"7,083","12,072","19112411",,,MDM_CYBER,
"7,124","11,830","19027081",,,MDM_CYBER,
"7,143","12,342","19041341",,,MDM_CYBER,
"7,144","12,342","19106682",,,MDM_CYBER,
"7,145","12,342","19111553",,,MDM_CYBER,
"7,146","12,342","19111275",,,MDM_CYBER,
"7,162","12,362","59004664",,,MDM_CYBER,
"7,163","12,362","59004830",,,MDM_CYBER,
"7,164","12,362","59003892",,,MDM_CYBER,
"7,165","12,362","59003881",,,MDM_CYBER,
"7,166","12,366","59003124",,,MDM_CYBER,
"7,167","12,362","59003089",,,MDM_CYBER,
"3,022","1,019",,144,,INSPIRATION,
"3,062",981,,"2,103",,INSPIRATION,
"3,145","3,330","19055519",,,MDM_CYBER,
"3,166","3,345","19088234",,,MDM_CYBER,
"3,185","3,381","19110591",,,MDM_CYBER,
"3,262","3,440","19106679",,,MDM_CYBER,
"3,282","3,440","19096167",,,MDM_CYBER,
"3,335","3,513","59008822",,,MDM_CYBER,
"3,336","3,345","19089758",,,MDM_CYBER,
"3,337","3,515","19090883",,,MDM_CYBER,
"3,340","3,345","19076087",,,MDM_CYBER,
"3,347","3,542","19091930",,,MDM_CYBER,
"3,348","3,542","19071269",,,MDM_CYBER,
"3,350","3,542","25017509",,,MDM_CYBER,
"3,366","3,542","19027089",,,MDM_CYBER,
"3,442","3,691","19090652",,,MDM_CYBER,
"3,443","3,691","19105557",,,MDM_CYBER,
"3,445","3,691","19106683",,,MDM_CYBER,
"3,446","3,691","19111286",,,MDM_CYBER,
"3,483","3,842","19037268",,,MDM_CYBER,
"3,485","3,842","19091918",,,MDM_CYBER,
"3,486","3,842","19091928",,,MDM_CYBER,
"3,487","3,842","19096187",,,MDM_CYBER,
"3,503","3,345","19076090",,,MDM_CYBER,
"3,582","3,905","59008375",,,MDM_CYBER,
"3,584","3,905","59007937",,,MDM_CYBER,
