NODE,LTEXT
BO,Body Bed 5 ฟุต
BP,Body Bed 6 ฟุต
BQ,Showcase 110
CE,ตู้ข้างเตียงขนาด 45
CF,ตู้เสื้อผ้าบานเปิดขนาด 225
CG,ตู้เสื้อผาบานเปิดขนาด 45
CH,หน้าบานตู้เสื้อผ้าขนาด 90
03,เตียง 3.5 ฟุต
04,เตียง 5 ฟุต
05,เตียง 6 ฟุต
06,เตียง 7 ฟุต
07,โต๊ะแป้งแบบนั่งขนาด 100
08,โต๊ะแป้งแบบนั่งขนาด 120
09,โต๊ะแป้งแบบนั่งขนาด 80
10,โต๊ะแป้งแบบนั่งขนาด 90
11,โต๊ะแป้งแบบยืนขนาด 40
12,โต๊ะแป้งแบบยืนขนาด 60
13,โต๊ะแป้งแบบยืนขนาด 80
14,โต๊ะแป้งแบบยืนขนาด 90
15,โต๊ะทำงานขนาด 120
16,โต๊ะทำงานขนาด 150
17,ไซด์บอร์ดขนาด 120
18,ไซด์บอร์ดขนาด 130
19,ไซด์บอร์ดขนาด 150
20,ไซด์บอร์ดขนาด 160
21,ไซด์บอร์ดขนาด 180
22,ไซด์บอร์ดขนาด 240
23,ไซด์บอร์ดขนาด 76
24,ไซด์บอร์ดขนาด 90
25,กล่องแขวนแนวตั้ง
26,กล่องแขวนแนวนอน
27,ชั้นแขวนขนาด 120
28,ชั้นแขวนขนาด 150
29,ชั้นแขวนขนาด 160
30,ชั้นแขวนขนาด 200
31,ชั้นแขวนขนาด 60
32,ชั้นแขวนขนาด 80
33,ชั้นแขวนขนาด 90
34,ตู้เตี้ยขนาด 120
35,ตู้เตี้ยขนาด 60
36,ตู้เตี้ยขนาด 75
37,ตู้เตี้ยขนาด 80
38,ตู้เตี้ยขนาด 90
39,ตู้เตี้ยบานเปิดขนาด 120
40,ตู้เตี้ยบานเปิดขนาด 60
41,ตู้เตี้ยบานเปิดขนาด 75
42,ตู้เตี้ยบานเปิดขนาด 80
43,ตู้เตี้ยบานเปิดขนาด 90
44,ตู้เตี้ยลิ้นชัก 120
45,ตู้เตี้ยลิ้นชัก 60
46,ตู้เตี้ยลิ้นชัก 80
47,ตู้เตี้ยลิ้นชัก 90
48,ตู้เตี้ยลิ้นชักขนาด 120
49,ตู้เตี้ยลิ้นชักขนาด 60
50,ตู้เตี้ยลิ้นชักขนาด 80
51,ตู้เตี้ยลิ้นชักขนาด 90
52,ตู้เสื้อผ้าเข้ามุม
53,ตู้เสื้อผ้าบานเปิดขนาด 135
54,ตู้เสื้อผ้าบานเปิดขนาด 139
55,ตู้เสื้อผ้าบานเปิดขนาด 160
56,ตู้เสื้อผ้าบานเปิดขนาด 180
57,ตู้เสื้อผ้าบานเปิดขนาด 200
58,ตู้เสื้อผ้าบานเปิดขนาด 202
