IDEABOOK_ID,MATNR
5344,19062783
5360,25016067
5366,59008860
5366,59008495
5366,59006738
5344,25015904
5842,19101652
5842,19109483
6045,19097827
6221,19098014
6221,19077272
6221,19097836
6221,19086673
6221,19026148
6221,19068842
3381,19036586
6553,25017624
6553,25017716
6553,25017713
6562,19111282
6586,19108378
6586,19108379
6586,19088106
6640,19105351
6640,25015042
6820,59004357
6886,19036592
6886,19091953
6886,19036586
7210,19108378
7210,19040787
7210,19026574
7346,19101651
7346,19101654
7346,19036586
7346,19070065
7346,19036592
7346,19000898
3542,19087091
7496,19098015
3381,19071521
7622,19042803
7622,19077467
7622,19042768
7622,19089936
7721,59006858
7883,19101644
7883,19109279
8523,19035028
8523,19025908
8705,19096191
8707,19112395
9125,19077059
9269,19023875
9060,19100903
9341,19090396
9341,19096155
9341,19023831
9363,19047476
9363,19077090
9501,19077732
9501,19047100
9584,59006514
10101,59006548
10101,59004534
10162,19110908
10162,19051485
10305,59008452
10305,59008127
10329,19070060
10464,59006710
10464,59008126
10464,59007711
10734,59000365
10781,59001218
10807,59000383
10807,59008126
10807,59003298
10807,59006509
10807,59002903
10823,59006456
10823,59000141
10823,19111092
10807,19067908
10807,19097332
10807,19084943
11241,19097665
11241,19045919
11323,59008251
11403,59006534
11410,59006509
11416,59006548
11416,19086604
11416,19071522
11425,19109647
11425,19088986
11425,19044850
11425,19084943
11506,59008452
11506,59007641
11520,19111256
11520,19097665
11520,19042790
11520,19042797
11520,19047928
11560,19111267
11560,19096155
3542,19055519
3542,19113183
11642,19111255
11642,19111271
11642,19101652
11802,19110817
11802,19072329
11803,19026574
11642,19111278
11830,19077241
11830,19112397
11831,59002212
11830,19039858
11830,59009994
11831,59003882
11831,59008633
11843,59001171
11843,19026283
11843,59008612
11862,19110817
11862,19108478
11862,19088806
11862,19080297
11900,19109647
11900,19096181
6182,19095624
5167,19111294
6182,19110767
11921,25015389
11921,25015908
11921,25015906
11921,25015904
11935,19101200
5167,19070068
12025,19109654
12025,19068928
12073,19101640
12073,19077715
12073,19100904
12073,19111272
12072,19070693
12305,19111052
12306,59009430
3330,19088112
3330,19049546
3330,19102428
3330,19089569
981,19037281
981,19071479
981,19110083
3344,19078314
3345,19089166
3440,59006483
3472,59000122
3501,19100637
3502,19088103
3502,19077180
3506,19089125
3506,19078415
3506,19057911
3345,19076089
3542,19110489
3515,19060076
3544,19097663
3515,19078418
3905,59008961
4040,19109894
4061,19086645
3905,19045919
4432,19068842
4432,19077272
4582,19042355
5006,19077425
5006,19059640
3825,59006698
5344,19101642
5344,19077470
5366,59007499
5366,59001239
5366,59001220
5543,19110639
5785,19109910
5785,25017030
5165,19109565
5165,19059639
6182,19077419
6182,19077101
6506,25017644
6507,25017635
6508,25017174
6508,25022524
6524,25015974
6524,25015968
6524,25014336
6524,25014337
6544,25015929
6544,25014909
6544,25014908
6544,25017023
6544,25017019
6544,25017694
6545,25017683
6553,25017608
6553,25017623
6553,25017609
6553,25018024
6553,25016981
6562,59006698
6562,19051475
6640,59007890
