ITEM_ID,CART_ID,MATNR,QUANTITY,TOTAL_PRICE,F_CANBUY
12407,13362,59007934,1,16900.0,Y
12408,13362,19077109,1,5110.0,Y
78495,84468,19090401,1,4550.0,Y
12410,13362,59008251,1,25900.0,Y
12411,13382,19100789,1,32600.0,Y
3202,3122,19047928,1,7420.0,Y
3241,3142,59008286,1,-13200.0,Y
4762,4884,19067396,1,1820.0,Y
3421,3302,19090403,1,18900.0,Y
3428,3304,19041866,1,3690.0,Y
122981,119465,19127619,1,11200.0,Y
3451,3346,19091950,1,1575.0,Y
3502,3402,19090822,1,6930.0,Y
3450,3345,19035150,1,2200.0,Y
5827,4282,59006946,1,5900.0,Y
3562,3463,19106778,1,58900.0,Y
3588,3503,19110089,1,6090.0,Y
3585,3502,19023875,1,1750.0,Y
4525,4625,19086664,1,12900.0,Y
5323,5482,25017229,1,120.0,Y
4084,4142,19090865,1,8400.0,Y
3644,3584,19111299,1,3010.0,Y
9666,10470,19111578,1,9900.0,Y
3726,3682,59008061,1,15500.0,Y
3742,3703,19085620,1,7350.0,Y
3741,3702,19062255,1,2200.0,Y
3750,3703,59001516,1,25900.0,Y
3781,3762,19077278,1,3990.0,Y
3802,3802,19081339,1,12000.0,Y
6502,6783,19105351,1,6900.0,Y
6504,6842,19100902,1,975.0,Y
122622,127862,19126172,1,15150.0,Y
4087,4142,25015357,1,199.0,Y
4089,4142,25015356,1,199.0,Y
4121,4202,19047970,1,6300.0,Y
7685,8262,19106678,1,4790.0,Y
7901,8562,19108378,1,34900.0,Y
4144,4242,19096196,1,13900.0,Y
122941,119465,19110883,1,5100.0,Y
5822,6102,19042666,1,21900.0,Y
122862,128022,19077084,1,13230.0,Y
6503,6842,19077274,1,2990.0,Y
6505,6842,19106518,1,9380.0,Y
4306,4362,19086604,1,6990.0,Y
4304,4362,19042821,2,99800.0,Y
122861,128022,19024114,1,15960.0,Y
122961,119465,19072321,1,23200.0,Y
4366,4523,59008283,1,5850.0,Y
4367,4523,19106666,1,3300.0,Y
4372,4523,19097322,1,2700.0,Y
4401,3462,19042366,1,5775.0,Y
4443,4444,19112402,1,2900.0,Y
6901,7222,19111291,2,11200.0,Y
123021,128063,19113819,1,9030.0,Y
4902,5043,59008061,1,15500.0,Y
123041,128082,59007373,1,29900.0,Y
5221,5382,19063796,1,6860.0,Y
123061,128102,59006531,1,15900.0,Y
5321,5482,25017280,1,190.0,Y
123163,128142,19087092,2,5980.0,Y
123143,128122,19111276,1,4900.0,Y
123164,128162,59012168,1,26900.0,Y
57052,62922,19088783,1,10500.0,Y
57056,62942,59012152,1,18900.0,Y
5905,6223,25016776,1,450.0,Y
5781,6022,19014291,1,8925.0,Y
5802,6042,19044825,1,13900.0,Y
5826,6102,19106673,1,28400.0,Y
5904,6223,25016775,2,900.0,Y
6041,4362,19044825,1,13900.0,Y
6510,6862,19067797,1,5950.0,Y
