"NODE","LTEXT","LTEXT_T"
BG,ม่านตาไก่,Pierced
BH,ม่านหลุยส์,Louise
BI,ม่านคอกระเช้า,Loop
BJ,มู่ลี่ไม้,Wooden Blind
BK,มู่ลี่อลูมิเนียม,Venetian Blind
BL,ม่านพับ,Roman Blind
BM,ม่านม้วน,Roller Blind
BN,แผ่นไม้ปูพื้นสนาม,Decking
BO,กล่องเก็บเงิน,Cash Box
BP,เตาอบ,Oven
BQ,ตู้เย็น,Refrigerator
BS,เครื่องล้างจาน,Dishwasher
BT,เครื่องซักผ้า,Washing Machine
BU,ตู้แช่ไวน์,Wine Cabinet
DM,"3D Wall","3D Wall"
CH,ซีรีย์ตู้ผ้าBuilt-In,Built-InWardrobe Set
CI,พื้นล่าง,Base Panel
CW,TV Flip,TV หมุน
CX,Porcelain,Porcelain
DN,PU 3D Panel,PU 3D Panel
H2,สตูล โซฟา,
H3,หน้าบาน,
H4,หน้าบานชุดครัว,
H5,หน้าบานตู้เสื้อผ้าบานเปิด,
H6,หน้าบานตู้เสื้อผ้าบานเลื่อน,
H7,หน้าบานประตู,
H8,หมอนสั่งทำ,
H9,**Delete**,
I0,หมอนหนุนเมมโมรี่โฟม,
I1,หมอนหนุนยางพารา,
I2,หมอนหนุนวิสโคอีลาสติก,
I3,หมอนอิง,
I4,อุปกรณ์ผ้าม่าน,
I5,ตู้เสื้อผ้าเข้ามุมบานเปิด,
I6,**Delete**,
I7,หน้าลิ้นชัก,
I8,โซฟาสนาม,
I9,**Delete**,
J0,ราวแขวน,
J1,พื้นบนตู้ลิ้นชัก,
J2,กล่องบานยก,
J3,กล่องลิ้นชัก,
J4,กล่องโล่ง,
J5,ชั้นโล่ง,
J6,โต๊ะเขียนหนังสือ,Writing Desk
J7,เซรามิคตกแต่ง,
J8,ของตกแต่งอื่น ๆ,
J9,ของตกแต่งเหล็กดัด,
K1,ตะเกียง,
K2,ชุดปลั๊กไฟ,
K3,หนังสือปลอม,
K4,สินค้าเบ็ดเตล็ด,
K5,แผ่นเข้ามุม,
K6,นาฬิกาตั้งพื้น,
K7,ตู้เสื้อผ้าอินโนเวชั่น,
K8,ภาพแขวน,
K9,กล่องใส่เครื่องประดับ,
L1,โถเซรามิค/โถหิน,
L2,ของใช้ในห้องน้ำ,
L3,กล่องใส่นามบัตร,
L4,อุปกรณ์ผ้าใช้ในครัวและบนโต๊ะอาหาร,
L5,ที่คั่นหนังสือ,
L6,Topโต๊ะ,
L7,ขาโต๊ะ,
L8,ตู้เตี้ย,
L9,เก้าอี้พักผ่อนเข้ามุม,
M1,โต๊ะหมู่บูชา,
M2,กระถางต้นไม้,
M3,**Delete**,
M4,ตะขอติดผนัง,
M5,หุ่นจำลอง,
M6,สมุดโน๊ต/อัลบั้มรูป,
M7,เก้าอี้พักผ่อนสั่งทำ,
M8,ที่นอนสปริง+ยางพารา,
M9,ที่นอนพ็อคเก็ตสปริง+ยางพารา,
N1,ที่นอนโฟมสังเคราะห์,
N2,ที่นอนฟองน้ำอัด,
N3,ที่นอนโฟม,
N4,แผ่นรองที่นอน,
N5,ชุดผ้าปูที่นอน,
N6,ชุดผ้าปูที่นอน+ผ้านวม,
N7,ปลอกหมอน,
N8,ผ้านวมเย็บติด,
N9,ปลอกผ้านวม,
O1,ไส้ผ้านวม,
O2,ผ้ารองกันเปื้อน,
O3,หมอนหนุน,
O4,หมอนข้าง,
O5,เตียงไฟฟ้า,
O6,ชิงช้า,
O7,อุปกรณ์เสริมชุดครัว,
O8,**Delete**,
O9,TV ชั้นแขวน IHTV,
P1,TV ตู้แขวนแบบกรอบ IHBTV,
P2,TV ตู้แขวนลิ้นชักลึก30 IHDW,
P3,TV ตู้แขวนลิ้นชักลึก45 IHDW,
P4,TV ตู้พื้น IB,
P5,TV โต๊ะ ITVB,
P6,กล่องแขวน โล่งไม้ IHB,
P7,กล่องแขวน โล่งไม้ IWB,
P8,กล่องแขวน โล่งไม้แนวตั้ง IWB,
P9,กล่องแขวน โล่งเหล็ก ISB,
Q1,ชั้นแขวน มีผนังกระจก ISM,
Q2,ชั้นแขวน มีผนังไม้ IS,
Q3,ชั้นแขวน ลอย IFS,
Q4,ตู้แขวน ชั้นกระจก 60 IHBG,
Q5,ตู้แขวน ชั้นไม้ 60 IHBW,
Q6,ตู้แขวน แนวตั้ง IHBV,
Q7,ตู้แขวน แนวนอนลึก 30 IHBH,
Q8,ตู้แขวน แนวนอนลึก 35 IHBH,
Q9,ตู้พื้น ลิ้นชัก ITVB,
R1,โต๊ะทำงาน IHD,
R2,เปาคา IDWB,
R3,ผนังหลัง กระจก IWM,
R4,ผนังหลัง ซ่อนสายไฟ IWE,
R5,ผนังหลัง ไม้ IW,
R6,พื้นล่าง IBPN,
R7,หน้าโต๊ะ ตู้พื้น IT-B,
R8,หน้าโต๊ะ ตู้ลิ้นชักลึก30 IT,
R9,หน้าโต๊ะ ตู้ลิ้นชักลึก45 IT,
S1,หน้าบาน 60,
S2,หน้าบาน ตู้แขวนแนวตั้ง,
S3,หน้าบาน ตู้แขวนแนวนอน Flap down,
S4,หน้าบาน ตู้แขวนแนวนอน Flap up,
S5,หน้าลิ้นชัก ตู้TVโต๊ะ DW-TVB,
S6,หน้าลิ้นชัก ตู้แขวน 60 DW-60,
S7,หน้าลิ้นชัก ตู้แขวน DW,
S8,หน้าลิ้นชัก ตู้พื้น DW-B,
S9,ตู้แขวน ลิ้นชัก IHDW 60,
T1,กล่องแขวน โล่งไม้ IHB ลึก 15,
T2,กล่องแขวน โล่งไม้ IHB ลึก 30,
T3,ผนังหลัง ไม้ IW 15,
T4,ผนังหลัง ไม้ IW 30,
T5,ผนังหลัง ไม้ IW 60,
T6,ตู้โชว์ ISC,
T7,สายไฟ,
T8,ชุดครัวสแตนเลส,
T9,กริ่งสนทนาเห็นภาพและเสียง,
U1,กล้องตาแมว,
U2,กลอนประตูดิจิตอล,
U3,เก้าอี้นวดไฟฟ้า,
U4,ตู้เซฟ,
U5,โฮมเธียเตอร์,
U6,เครื่องสั่น,
U7,เบาะนวด,
U8,เครื่องนวดเท้า,
U9,เครื่องนวดคอ,
V1,หมอนนวด,
V2,Top หิน,
V3,Top ไม้,
V4,Gadgets,
V5,กระเป๋า,
V6,ถังขยะ,
V7,กล่องและภาชนะเก็บอาหาร,
V8,การ์ด,
V9,ขวดเครื่องปรุง,
W0,ของขวัญ กิ๊ฟช็อป,
W1,ของขวัญสำหรับเด็ก,
W2,ของตกแต่งห้องเด็ก,
W3,ของเล่นเด็ก,
W4,เครื่องแก้วและเหยือกน้ำ,
W5,เครื่องเขียน,
W6,เครื่องใช้ในครัว,
W7,โคมไฟสำหรับเด็ก,
W8,ช้อนส้อมมีด,
W9,**Delete**,
X0,ชาและกาแฟ,
X1,โซฟาสำหรับเด็ก,
X2,ตะกร้า,
X3,ตำราอาหาร,
X4,ผ้าคลุมเตียง,
X5,โป๊ะโคมไฟ,
X6,ผ้าขนหนู,
X7,ผ้าคาดเตียง,
X8,ผ้าเช็ดปาก,
X9,ผ้าสำหรับเด็ก,
Y0,พรมเช็ดเท้า,
Y1,พรมตกแต่ง,
Y2,เฟอร์นิเจอร์เด็ก,
Y3,เฟอร์นิเจอร์และที่เก็บของในห้องน้ำ,
Y4,แฟ้มแขวน,
Y5,ถาดและรถเข็น,
Y6,ภาชนะใส่อาหาร,
Y7,ม่านห้องน้ำ,
Y8,มีดทำครัว,
Y9,ร่ม,
Z0,ลำโพงบลูทูธ,
Z1,สินค้าสำหรับเด็กอื่นๆ,
Z2,หนังสือ,
Z3,หลอดไฟและอุปกรณ์,
Z4,อุปกรณ์ทำขนม,
Z5,อุปกรณ์ทำอาหาร,
Z6,อุปกรณ์ในห้องน้ำ,
Z7,อุปกรณ์บนโต๊ะทำงาน,
Z8,อุปกรณ์บาร์,
Z9,อุปกรณ์พิเศษ,
BF,ม่านจีบ,Pleated
MG,เฟอร์นิเจอร์เป่าลม,Air Furniture
CG,อาร์มแชร์หนังนาโน,Armchair/Nano
CK,ชุดครัว Divani,Kitchen Set Divani
CL,ชุดครัว Domino,Kitchen Set Domino
CM,ชุดครัว Kourmet,Kitchen Set Kourmet
CN,Gate Door,ระบบประตูรั้วอัตโนมัติ
CO,Window Automation,ระบบมอเตอร์สำหรับม่าน
CP,Vertical Awning,กันสาด แนวตั้ง
CQ,Horizontal Awning,กันสาด แนวนอน
CR,Arch Unit,โครงซุ้มทีวี
CS,Bed Head,โครงซุ้มหัวเตียง
CT,Body structure,โครงตู้
CU,Door's Fitting,อุปกรณ์เสริมหน้าบาน
CV,TV Unit,โครงตู้ทีวี
CY,Vacuum Cleaner,เครื่องดูดฝุ่น
DF,ที่นอนพ็อคเกตสปริง+เมมโมรี่โฟม,Mattress Pocket Spring + Memory Foam
DH,ที่นอนโฟมสังเคราะห์+ยางพารา,Mattress Synthetic Foam + Latex
DI,โต๊ะกลางไม้ท๊อปเหล็ก,Coffee Table/Wood/Steel Top
DJ,ชุดครัว Croissant,Kitchen Set Croissant
DB,ผนังตกแต่งกระจก,Mirror decorative wall
BE,อาร์มแชร์หวาย,Armchair/Rattan
BW,ชุดครัว Kuche,Kitchen Set Kuche
BX,ชุดตู้เก็บของหนังสือ,Storage Set
BY,ชุดผนังตกแต่ง,Wall Storage Set
BZ,ชุดวางทีวี Infinity,Infinity TV Set
CA,ชุดวางทีวี Scenario,Scenario TV Set
CB,ซีรีย์ตู้ผ้า WD Plus,Wardrobe Plus Set
CC,ซีรีย์ตู้ผ้า Maxio,Maxio Wardrobe Set
CD,ชุดห้องนอน,Bedroom Set
CE,ชุดห้องนอนเด็ก,"Kids Bedroom Set"
CF,ชุดวางทีวีสำเร็จรูป,"TV Set"
CJ,ผนังหลัง,Wall panel
DC,เก้าอี้สตูลบาร์เบาะพลาสติก,Bar Stool/Plas
DK,ที่นอนโฟมออร์แกนิค+ยางพารา,FoamOrganic+Latex Mattress
DL,ที่นอนโฟม + ยางพารา,Foam+Latex Mattress
DG,ที่นอนสปริง+โฟมสังเคราะห์,Mattress Spring + Synthetic Foam
DA,ฟิลม์อาคาร,Building Film
DE,ที่นอนพ็อคเกตสปริง+โฟมสังเคราะห์,Mattress Pocket Spring + Synthetic Foam
